Episode,Event,X_Pos
1359,death,301
1360,death,1535
1361,death,1427
1362,death,813
1363,death,1416
1364,death,287
1365,death,679
1366,death,810
1367,death,830
1368,death,1125
1369,death,1151
1370,death,1120
1371,death,310
1372,death,1427
1373,death,283
1374,death,700
1375,death,1107
1376,death,692
1377,death,311
1378,death,290
1379,death,1127
1380,death,295
1381,death,682
1382,death,698
1383,death,309
1384,death,301
1385,death,1194
1386,death,1139
1387,death,288
1388,death,296
1389,death,303
1390,death,1133
1391,death,837
1392,death,1137
1393,death,1136
1394,death,1129
1395,death,1224
1396,death,857
1397,death,1419
1398,death,691
1399,death,821
1400,death,900
1401,death,1120
1402,death,698
1403,death,680
1404,death,308
1405,death,696
1406,death,285
1407,death,1123
1408,death,1136
1409,death,298
1410,death,266
1411,death,1430
1412,death,823
1413,death,1787
1414,death,1417
1415,death,1219
1416,death,295
1417,death,1413
1418,death,293
1419,death,1128
1420,death,303
1421,death,838
1422,death,1128
1423,death,680
1424,death,298
1425,death,313
1426,death,666
1427,death,288
1428,death,681
1429,death,1126
1430,death,709
1431,death,262
1432,death,723
1433,death,668
1434,death,301
1435,death,311
1436,death,311
1437,death,1123
1438,death,700
1439,death,294
1440,death,827
1441,death,309
1442,death,282
1443,death,708
1444,death,663
1445,death,723
1446,death,293
1447,death,806
1448,death,689
1449,death,289
1450,death,1136
1451,death,284
1452,death,693
1453,death,1402
1454,death,296
1455,death,1138
1456,death,297
1457,death,684
1458,death,286
1459,death,312
1460,death,706
1461,death,300
1462,death,308
1463,death,686
1464,death,1132
1465,death,291
1466,death,309
1467,death,296
1468,death,707
1469,death,1409
1470,death,1128
1471,death,311
1472,death,694
1473,death,699
1474,death,311
1475,death,312
1476,death,1127
1477,death,298
1478,death,292
1479,death,1134
1480,death,303
1481,death,287
1482,death,1434
1483,death,666
1484,death,692
1485,death,697
1486,death,1241
1487,death,804
1488,death,686
1489,death,1663
1490,death,700
1491,death,284
1492,death,272
1493,death,293
