Episode,Event,X_Pos
958,death,832
959,death,310
960,death,830
961,death,685
962,death,290
963,death,842
964,death,696
965,death,298
966,death,824
967,death,678
968,death,694
969,death,307
970,death,703
971,death,313
972,death,310
973,death,827
974,death,1122
975,death,311
976,death,300
977,death,315
978,death,1129
979,death,799
980,death,1437
981,death,677
982,death,712
983,death,704
984,death,309
985,death,899
986,death,275
987,death,1138
988,death,691
989,death,300
990,death,1261
991,death,1124
992,death,684
993,death,723
994,death,679
995,death,1136
996,death,266
997,death,1126
998,death,710
999,death,678
1000,death,708
1001,death,1138
1002,death,314
1003,death,1155
1004,death,305
1005,death,1126
1006,death,281
1007,death,1675
1008,death,1432
1009,death,698
1010,death,1130
1011,death,301
1012,death,692
1013,death,300
1014,death,697
1015,death,1417
1016,death,298
1017,death,299
1018,death,2469
1019,death,677
1020,death,839
1021,death,308
1022,death,299
1023,death,273
1024,death,865
1025,death,314
1026,death,677
1027,death,692
1028,death,678
1029,death,297
1030,death,668
1031,death,1437
1032,death,1126
1033,death,1135
1034,death,303
1035,death,313
1036,death,1236
1037,death,697
1038,death,312
1039,death,1674
1040,death,315
1041,death,286
1042,death,314
1043,death,296
1044,death,701
1045,death,1137
1046,death,899
1047,death,900
1048,death,866
1049,death,692
1050,death,311
1051,death,704
1052,death,692
1053,death,723
1054,death,301
1055,death,662
1056,death,264
1057,death,703
1058,death,298
1059,death,722
1060,death,813
1061,death,850
1062,death,708
1063,death,305
1064,death,830
1065,death,827
1066,death,1132
1067,death,900
1068,death,292
1069,death,259
1070,death,309
1071,death,831
1072,death,847
1073,death,694
1074,death,702
1075,death,888
1076,death,289
1077,death,312
1078,death,307
1079,death,722
1080,death,311
1081,death,1133
1082,death,1124
1083,death,1433
1084,death,307
1085,death,705
1086,death,296
1087,death,678
1088,death,691
1089,death,1132
1090,death,697
1091,death,286
1092,death,853
1093,death,1786
1094,death,303
1095,death,709
1096,death,311
1097,death,1127
1098,death,274
1099,death,303
1100,death,315
1101,death,900
1102,death,1213
1103,death,1663
1104,death,680
1105,death,1129
1106,death,282
1107,death,1240
1108,death,899
1109,death,1124
1110,death,673
1111,death,704
1112,death,286
1113,death,275
1114,death,295
1115,death,898
1116,death,845
1117,death,834
1118,death,315
1119,death,299
1120,death,701
1121,death,1122
1122,death,1121
1123,death,1128
1124,death,248
1125,death,670
1126,death,697
1127,death,300
1128,death,722
1129,death,302
1130,death,819
1131,death,723
1132,death,303
1133,death,303
1134,death,900
1135,death,849
1136,death,305
1137,death,304
1138,death,284
1139,death,292
1140,death,693
1141,death,303
1142,death,294
1143,death,692
1144,death,1415
1145,death,1413
1146,death,306
1147,death,1410
1148,death,1132
1149,death,841
1150,death,1124
1151,death,1125
1152,death,708
1153,death,309
1154,death,723
1155,death,898
1156,death,666
1157,death,1137
1158,death,291
1159,death,1424
1160,death,306
1161,death,685
1162,death,696
1163,death,1417
1164,death,295
1165,death,252
1166,death,299
1167,death,688
1168,death,279
1169,death,693
1170,death,1131
1171,death,1496
1172,death,287
1173,death,1502
1174,death,700
1175,death,291
1176,death,681
1177,death,300
1178,death,1125
1179,death,283
1180,death,273
1181,death,851
1182,death,898
1183,death,313
1184,death,303
1185,death,302
1186,death,1126
1187,death,698
1188,death,307
1189,death,304
1190,death,1136
1191,death,681
1192,death,275
1193,death,690
1194,death,298
1195,death,899
1196,death,1130
1197,death,710
1198,death,306
1199,death,1412
1200,death,1127
1201,death,711
1202,death,678
1203,death,1795
1204,death,307
1205,death,671
1206,death,309
1207,death,284
1208,death,299
1209,death,297
1210,death,723
1211,death,1135
1212,death,294
1213,death,303
1214,death,309
1215,death,1227
1216,death,275
1217,death,709
1218,death,301
1219,death,296
1220,death,306
1221,death,682
1222,death,302
1223,death,1129
1224,death,699
1225,death,695
1226,death,1416
1227,death,275
1228,death,800
1229,death,862
1230,death,301
1231,death,676
1232,death,303
1233,death,691
1234,death,295
1235,death,273
1236,death,300
1237,death,1416
1238,death,308
1239,death,289
1240,death,1154
1241,death,299
1242,death,1125
1243,death,688
1244,death,1429
1245,death,308
1246,death,308
1247,death,310
1248,death,723
1249,death,900
1250,death,303
1251,death,289
1252,death,310
1253,death,691
1254,death,297
1255,death,898
1256,death,299
1257,death,304
1258,death,310
1259,death,289
1260,death,677
1261,death,313
1262,death,692
1263,death,899
1264,death,687
1265,death,243
1266,death,301
1267,death,303
1268,death,684
1269,death,829
1270,death,899
1271,death,1231
1272,death,696
1273,death,288
1274,death,1129
1275,death,711
1276,death,315
1277,death,663
1278,death,799
1279,death,698
1280,death,294
1281,death,296
1282,death,835
1283,death,300
1284,death,708
1285,death,707
1286,death,296
1287,death,298
1288,death,310
1289,death,833
1290,death,1133
1291,death,696
1292,death,661
1293,death,305
1294,death,293
1295,death,674
1296,death,1525
1297,death,899
1298,death,695
1299,death,285
1300,death,855
1301,death,687
1302,death,301
1303,death,1137
1304,death,678
1305,death,300
1306,death,309
1307,death,695
1308,death,305
1309,death,305
1310,death,297
1311,death,714
1312,death,1411
1313,death,694
1314,death,854
1315,death,706
1316,death,1415
1317,death,312
1318,death,278
1319,death,677
1320,death,307
1321,death,693
1322,death,1128
1323,death,681
1324,death,1410
1325,death,287
1326,death,842
1327,death,295
1328,death,1406
1329,death,692
1330,death,1124
1331,death,284
1332,death,299
1333,death,1521
1334,death,841
1335,death,301
1336,death,690
1337,death,301
1338,death,302
1339,death,1436
1340,death,300
1341,death,1438
1342,death,1219
1343,death,1124
1344,death,693
1345,death,303
1346,death,665
1347,death,307
1348,death,723
1349,death,1665
1350,death,700
1351,death,675
1352,death,701
1353,death,683
1354,death,815
1355,death,280
1356,death,1425
1357,death,710
1358,death,297
1359,death,1129
1360,death,286
1361,death,723
1362,death,287
1363,death,681
1364,death,706
1365,death,1135
1366,death,262
1367,death,1136
1368,death,304
1369,death,703
1370,death,307
1371,death,698
1372,death,899
1373,death,1521
1374,death,304
1375,death,899
1376,death,849
1377,death,295
1378,death,267
1379,death,699
1380,death,1408
1381,death,1125
1382,death,685
1383,death,708
1384,death,686
1385,death,706
1386,death,1126
1387,death,723
1388,death,1410
1389,death,296
1390,death,669
1391,death,689
1392,death,304
1393,death,1123
1394,death,701
1395,death,1125
1396,death,711
1397,death,312
1398,death,1507
1399,death,313
1400,death,687
1401,death,312
1402,death,308
